Index,Level,Change,% Change
Bitcoin (BTC),25201.55078125,-630.67578125,-2.44
Ethereum (ETH),1560.9967041015625,-55.8321533203125,-3.45
Binance Coin (BNB),206.62472534179688,-5.69329833984375,-2.68
Ripple (XRP),0.47308972477912903,-0.02472427487373352,-4.97
Cardano (ADA),0.24118126928806305,-0.007870733737945557,-3.16
